label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
ring,73,596,940,756,frame_0.jpg,1080,1920
ring,80,583,937,753,frame_1.jpg,1080,1920
ring,14,626,886,693,frame_10.jpg,1080,1920
ring,317,761,446,329,frame_100.jpg,1080,1920
ring,314,754,454,329,frame_101.jpg,1080,1920
ring,307,743,464,339,frame_102.jpg,1080,1920
ring,305,736,466,343,frame_103.jpg,1080,1920
ring,302,725,474,351,frame_104.jpg,1080,1920
ring,302,720,479,357,frame_105.jpg,1080,1920
ring,297,713,491,369,frame_106.jpg,1080,1920
ring,292,710,502,372,frame_107.jpg,1080,1920
ring,295,705,506,384,frame_108.jpg,1080,1920
ring,295,700,517,394,frame_109.jpg,1080,1920
ring,9,645,869,692,frame_11.jpg,1080,1920
ring,300,693,529,405,frame_110.jpg,1080,1920
ring,305,692,537,413,frame_111.jpg,1080,1920
ring,309,683,547,422,frame_112.jpg,1080,1920
ring,315,678,547,430,frame_113.jpg,1080,1920
ring,319,675,553,436,frame_114.jpg,1080,1920
ring,320,670,558,443,frame_115.jpg,1080,1920
ring,323,667,560,445,frame_116.jpg,1080,1920
ring,325,664,565,448,frame_117.jpg,1080,1920
ring,330,662,563,453,frame_118.jpg,1080,1920
ring,335,660,562,456,frame_119.jpg,1080,1920
ring,1,669,866,683,frame_12.jpg,1080,1920
ring,335,665,565,461,frame_120.jpg,1080,1920
ring,342,670,557,461,frame_121.jpg,1080,1920
ring,337,677,560,464,frame_122.jpg,1080,1920
ring,328,682,565,469,frame_123.jpg,1080,1920
ring,320,690,565,469,frame_124.jpg,1080,1920
ring,307,695,562,476,frame_125.jpg,1080,1920
ring,287,703,558,474,frame_126.jpg,1080,1920
ring,272,716,550,474,frame_127.jpg,1080,1920
ring,259,731,548,473,frame_128.jpg,1080,1920
ring,254,749,535,466,frame_129.jpg,1080,1920
ring,1,692,848,677,frame_13.jpg,1080,1920
ring,251,767,524,463,frame_130.jpg,1080,1920
ring,251,790,510,453,frame_131.jpg,1080,1920
ring,253,812,499,441,frame_132.jpg,1080,1920
ring,258,828,481,436,frame_133.jpg,1080,1920
ring,263,848,478,430,frame_134.jpg,1080,1920
ring,274,860,464,430,frame_135.jpg,1080,1920
ring,282,876,456,423,frame_136.jpg,1080,1920
ring,289,892,451,413,frame_137.jpg,1080,1920
ring,297,899,446,412,frame_138.jpg,1080,1920
ring,305,906,441,407,frame_139.jpg,1080,1920
ring,1,716,832,672,frame_14.jpg,1080,1920
ring,312,907,440,410,frame_140.jpg,1080,1920
ring,315,907,448,410,frame_141.jpg,1080,1920
ring,320,902,453,418,frame_142.jpg,1080,1920
ring,323,894,466,426,frame_143.jpg,1080,1920
ring,332,881,474,435,frame_144.jpg,1080,1920
ring,332,868,489,443,frame_145.jpg,1080,1920
ring,330,858,506,458,frame_146.jpg,1080,1920
ring,327,850,520,468,frame_147.jpg,1080,1920
ring,320,833,542,484,frame_148.jpg,1080,1920
ring,315,815,565,497,frame_149.jpg,1080,1920
ring,1,741,817,670,frame_15.jpg,1080,1920
ring,312,794,591,509,frame_150.jpg,1080,1920
ring,312,771,614,522,frame_151.jpg,1080,1920
ring,315,756,637,530,frame_152.jpg,1080,1920
ring,325,748,652,535,frame_153.jpg,1080,1920
ring,337,739,669,538,frame_154.jpg,1080,1920
ring,351,731,690,540,frame_155.jpg,1080,1920
ring,373,716,700,543,frame_156.jpg,1080,1920
ring,383,701,697,545,frame_157.jpg,1080,1920
ring,399,685,681,540,frame_158.jpg,1080,1920
ring,407,665,673,537,frame_159.jpg,1080,1920
ring,1,762,800,669,frame_16.jpg,1080,1920
ring,412,645,668,519,frame_160.jpg,1080,1920
ring,416,622,664,502,frame_161.jpg,1080,1920
ring,411,614,669,476,frame_162.jpg,1080,1920
ring,406,617,674,448,frame_163.jpg,1080,1920
ring,393,621,687,417,frame_164.jpg,1080,1920
ring,384,627,696,390,frame_165.jpg,1080,1920
ring,379,639,701,370,frame_166.jpg,1080,1920
ring,386,659,682,344,frame_167.jpg,1080,1920
ring,394,683,660,328,frame_168.jpg,1080,1920
ring,412,708,636,310,frame_169.jpg,1080,1920
ring,1,787,785,672,frame_17.jpg,1080,1920
ring,419,729,624,296,frame_170.jpg,1080,1920
ring,424,741,616,280,frame_171.jpg,1080,1920
ring,429,748,598,262,frame_172.jpg,1080,1920
ring,429,751,593,247,frame_173.jpg,1080,1920
ring,429,749,585,231,frame_174.jpg,1080,1920
ring,430,749,570,211,frame_175.jpg,1080,1920
ring,427,749,562,198,frame_176.jpg,1080,1920
